"GEO_ID"	"NAME"	"Male_2010"	"Male_2011"	"Male_2012"	"Male_2013"	"Male_2014"	"Male_2015"	"Male_2016"	"Male_2017"	"Male_2018"
"68"	"72133"	"Santa Isabel Municipio, Puerto Rico"	48.3	48.3	48.3	48.3	48.4	48.4	48.4	48.3	48.3
"69"	"72135"	"Toa Alta Municipio, Puerto Rico"	48.5	48.4	48.4	48.4	48.4	48.3	48.2	48.1	48.1
"70"	"72137"	"Toa Baja Municipio, Puerto Rico"	47.5	47.5	47.4	47.3	47.3	47.2	47.1	46.9	46.9
"71"	"72139"	"Trujillo Alto Municipio, Puerto Rico"	47.6	47.6	47.5	47.5	47.4	47.3	47.2	47.1	47.1
"72"	"72141"	"Utuado Municipio, Puerto Rico"	49.1	49.1	49	48.9	48.9	48.8	48.7	48.6	48.6
"73"	"72143"	"Vega Alta Municipio, Puerto Rico"	47.8	47.8	47.8	47.8	47.8	47.7	47.7	47.6	47.8
"74"	"72145"	"Vega Baja Municipio, Puerto Rico"	48.2	48.2	48.2	48.2	48.2	48.2	48.1	48	47.9
"75"	"72147"	"Vieques Municipio, Puerto Rico"	49.6	49.6	49.6	50.6	51.2	50.2	50.3	48.7	49.4
"76"	"72149"	"Villalba Municipio, Puerto Rico"	49.5	49.3	49.2	49.1	49	49	48.8	48.6	48.6
"77"	"72151"	"Yabucoa Municipio, Puerto Rico"	48.8	48.8	48.8	48.7	48.7	48.6	48.6	48.5	48.4
"78"	"72153"	"Yauco Municipio, Puerto Rico"	48.5	48.4	48.4	48.3	48.3	48.3	48.1	48	48
